Date,Open,High,Low,Close,Volume
Today-0,131.6,132.47,131.3,132.32,162708478
Today-1,132.21,132.63,131.61,132.27,146436606
Today-2,132.09,132.64,131.73,132.57,99072704
Today-3,131.44,132.4,131.43,131.97,112439030
Today-4,130.83,131.2,130.23,131.15,134634710
Today-5,130.26,130.98,129.57,130.78,145886611
Today-6,130.4,130.84,130.33,130.48,118323602
Today-7,129.46,130.97,129.38,130.74,167194214
Today-8,128.07,128.78,127.75,128.68,149249105
Today-9,130.14,130.35,127.51,127.72,295637223
Today-10,129.7,130.21,129.47,129.99,123302633
Today-11,129.49,130.05,129.23,129.67,141281439
Today-12,128.76,129.28,128.11,129.17,167552153
Today-13,128.28,129.25,128.26,129.1,113715455
Today-14,128.88,129.17,128.23,128.37,151462880
Today-15,127.96,128.4,127.13,128.08,175745603
Today-16,129.41,129.54,127.91,128.25,151958324
Today-17,129.18,129.64,129.03,129.52,114401252
Today-18,129.3,129.3,129.3,129.3,0
Today-19,128.63,128.69,128.05,128.37,129229132
Today-20,128.21,128.72,127.46,128.58,107929135
Today-21,127.44,127.74,126.95,127.43,110286968
Today-22,126.58,127.16,126.2,126.98,122401644
Today-23,127.56,127.77,126.15,127.14,156034587
Today-24,127.69,127.83,127.01,127.39,122518970
Today-25,126.58,127.72,126.46,127.64,133975250
Today-26,127.33,127.37,126.19,126.98,137409675
Today-27,126.71,127.6,125.7,127.05,138725191
Today-28,125.53,125.87,125.33,125.75,91270271
Today-29,125.8,126.13,125.53,125.72,76616846
Today-30,125.98,126.2,125.9,125.92,58033036
Today-31,125.9,125.95,125.5,125.83,55309010
Today-32,125.13,125.77,125.04,125.65,58125974
Today-33,125.6,125.6,125.6,125.6,0
Today-34,125.48,125.82,125.41,125.78,78878090
Today-35,124.99,125.47,124.87,125.39,94965438
Today-36,124.64,124.9,123.98,124.6,119085459
Today-37,124.08,124.46,123.82,124.3,141075278
Today-38,124.18,124.91,123.75,124.82,185035177
Today-39,124.44,124.93,123.89,124.1,160823010
Today-40,124.75,125.23,124.29,124.67,147249532
Today-41,125.05,125.2,124.52,124.56,133812609
Today-42,124.14,124.6,123.73,124.48,117571625
Today-43,123.97,124.02,123.15,123.76,123705049
Today-44,122.98,123.38,122.41,123.28,138019177
Today-45,123.94,124.01,122.76,122.83,206580946
Today-46,122.63,123.04,122.5,122.76,103050459
Today-47,122.14,123.03,122.11,122.89,151288823
Today-48,121.2,122.65,121.13,122.56,191213570
Today-49,120.2,121.24,120.19,121.01,221037149
Today-50,117.98,119.17,117.81,118.49,233930639
Today-51,118.5,119.48,117.74,119.16,223642224
Today-52,119.16,119.81,118.8,118.8,76007704
Today-53,120.2,120.2,120.2,120.2,0
Today-54,118.77,119.02,117.99,118.45,222308913
Today-55,119.69,120.24,118.77,120.19,181592166
Today-56,119.9,120.34,119.25,120.29,156852807
Today-57,119.36,120.39,119.35,119.96,197723674
Today-58,118.21,118.71,117.86,118.22,172308826
Today-59,119.29,119.49,117.59,118.16,300331917
Today-60,120.58,121.05,119.98,120.03,163940710
Today-61,120.82,121.35,119.65,120.2,239068789
Today-62,121.05,121.82,120.68,121.64,158017547
Today-63,121.58,122.16,120.66,122.1,221387386
Today-64,122.82,122.95,121.12,121.61,186621575
Today-65,122.34,122.69,121.94,122.49,155901614
Today-66,122.34,122.92,122.18,122.72,180654096
Today-67,121.28,122.32,119.97,122.26,215039313
