Date,Open,High,Low,Close,Volume
Today-0,49.56,50.9,49.35,50.81,6343447
Today-1,49.61,50.72,49.36,50.12,6695372
Today-2,48.68,50.15,48.26,49.8,12442199
Today-3,48.26,48.63,47.52,47.8,6883848
Today-4,47.46,48.14,47.01,48.03,8203444
Today-5,48.58,49.04,47.55,47.6,9805179
Today-6,46.44,48.2,46.26,47.97,11556878
Today-7,46.07,47.3,46,46.49,12852818
Today-8,47,47.05,44.83,45.37,16535985
Today-9,51.38,51.48,46.16,46.8,25888682
Today-10,50.4,51.83,50.4,51.32,10186461
Today-11,48.9,50.04,47.97,49.97,9045771
Today-12,50.32,50.42,48.15,48.55,11681190
Today-13,50.07,50.83,48.96,50.68,7119880
Today-14,50.33,51.06,49.81,49.97,8239296
Today-15,51.38,51.45,49.02,49.95,8808750
Today-16,53.6,53.6,51.31,51.5,7299105
Today-17,52.64,53.06,51.81,53.06,5187464
Today-18,52.77,52.77,52.77,52.77,0
Today-19,51.97,52.2,51.02,51.4,4923884
Today-20,51.96,52.29,51.23,51.87,6655787
Today-21,53.47,53.6,51.77,52.2,6100912
Today-22,52.42,53.35,52.26,53.24,4958343
Today-23,52.64,53.41,51.66,52.37,5114419
Today-24,52.52,53.22,52.31,52.73,6244304
Today-25,50.77,52.58,50.7,52.25,6674964
Today-26,51.5,51.97,49.77,50.81,6746610
Today-27,50.66,51.71,50.6,51.24,5150489
Today-28,50.29,50.42,49.45,49.86,2636069
Today-29,49.87,50.75,49.69,50.36,2943776
Today-30,50.25,50.32,49.56,49.78,3441634
Today-31,51.13,51.35,50.15,50.15,3296264
Today-32,50.43,51.22,49.75,50.85,2997969
Today-33,50.41,50.41,50.41,50.41,0
Today-34,51.94,52.31,50.71,51.01,6572039
Today-35,50.01,51.75,49.89,51.64,8737689
Today-36,48.98,49.83,48.64,49.21,6191452
Today-37,48.55,49.2,48.44,48.87,6311272
Today-38,48.33,49.4,48.2,48.69,6973095
Today-39,49.29,49.64,48.04,48.18,8410891
Today-40,49.8,50.4,48.77,49.38,7412110
Today-41,50.26,50.97,49.83,49.87,9945140
Today-42,47.64,50.06,47.6,49.6,13700333
Today-43,48.15,48.2,46.46,47.64,7565108
Today-44,47.78,48.48,47.15,47.89,6021080
Today-45,48.66,48.74,47.69,47.75,7077479
Today-46,47.79,48.15,46.91,47.72,8979572
Today-47,47.77,48.99,47.76,48.31,7596269
Today-48,47.16,48.24,47.01,48,9091783
Today-49,45.46,47.02,45.44,46.9,12003246
Today-50,44.56,45.5,44.32,44.6,10428614
Today-51,44.71,45.69,44.47,45.22,8776747
Today-52,44.5,45.25,44.13,44.95,4513371
Today-53,45.01,45.01,45.01,45.01,0
Today-54,42.05,43.36,42.04,42.96,13127032
Today-55,41.13,42.83,41.05,42.57,14662159
Today-56,38.5,40.15,38.5,39.98,9271629
Today-57,38.63,39.13,38.35,38.49,5815681
Today-58,38.21,38.78,37.79,37.93,5257896
Today-59,38.86,38.98,37.67,38.22,7989899
Today-60,40.04,40.23,39.11,39.17,5655433
Today-61,40.15,40.75,39.26,39.57,7249838
Today-62,39.39,40.8,39.17,40.42,7772849
Today-63,39.93,40.53,39.22,40.28,9283454
Today-64,41.42,41.48,39.58,39.88,8487753
Today-65,41.62,41.95,41.2,41.37,7292071
Today-66,40.65,42.44,40.5,41.31,12895135
Today-67,38.6,40.56,38.41,40.35,16291136
Today-68,37.4,38.18,37.28,38.1,7107305
Today-69,37.71,37.75,37.22,37.44,6583119
Today-70,37.85,37.88,36.77,37.36,8526136
Today-71,38.21,38.79,37.56,37.63,9172191
Today-72,38.25,38.62,37.84,38.05,10316917
Today-73,37.29,38.1,36.9,37.87,10813013
Today-74,37.15,37.6,36.63,37.19,10500219
Today-75,37.21,37.98,37.07,37.41,9260908
Today-76,38.7,38.73,36.96,36.99,23695865
Today-77,38.55,38.55,36.77,37.12,21091204
Today-78,38.38,39.33,37.21,38.31,19576510
Today-79,38.21,39.7,37.41,38.13,13929011
Today-80,39.6,40.37,38.73,38.91,9894924
Today-81,38.97,39.33,38.39,39.21,8602740
Today-82,39.6,39.8,38.2,38.7,12296245
Today-83,40.59,40.78,39.54,39.94,11154416
Today-84,39.13,40.33,39.04,40.07,8066374
Today-85,39.52,40,39.11,39.44,6899098
Today-86,37.65,39.66,37.25,39.52,12161630
Today-87,37.67,37.93,37,37.25,6118725
Today-88,37.83,38.65,36.86,37.32,9123191
Today-89,36.93,37.84,36.51,37.64,8899827
Today-90,37,37.14,35.94,36.28,7269150
Today-91,37.23,37.5,36.55,37.03,7192043
Today-92,38.1,38.15,36.02,36.65,11196633
Today-93,35.95,38.3,35.8,37.64,15113938
Today-94,36,36.35,35.5,35.98,8498509
Today-95,35.87,36.36,35.3,35.89,8006823
Today-96,35.84,36.05,35.39,35.85,10467812
Today-97,35.31,36.07,34.88,35.28,10527456
Today-98,34.85,35.94,34.59,35.75,12737833
Today-99,36.98,37.13,35.12,35.47,25198963
Today-100,38.25,38.36,36.9,37.76,13236453
Today-101,39.16,39.28,37.49,38.12,15261774
Today-102,39.68,39.68,38.75,39.31,8802481
Today-103,39.06,39.88,39.02,39.73,7538817
Today-104,38.57,39.84,38.05,39.51,12811140
Today-105,37.65,39.04,37.62,38.79,11031995
Today-106,38.12,38.25,36.27,36.94,10544926
Today-107,38.34,38.74,37.51,37.95,10728192
Today-108,36.9,37.8,36.67,37.51,10573980
Today-109,37.11,37.48,36.5,36.61,10183443
Today-110,36.95,36.95,36.95,36.95,0
Today-111,36.95,36.95,36.95,36.95,0
Today-112,35.07,36.34,34.14,36.01,16832307
Today-113,33.93,35.4,33.75,34.81,14272123
Today-114,34.12,34.2,33.03,33.13,16132817
Today-115,34.59,34.97,34.06,34.26,14731703
Today-116,36.28,36.29,35.49,34.19,29094529
Today-117,38.44,38.44,35.39,35.78,19326116
Today-118,37.63,38.04,36.27,37.76,21359133
Today-119,39.08,39.1,38.82,38.27,18576269
Today-120,42,42.1,40.72,40.73,10982846
Today-121,41.57,41.85,40.89,41.5,19797769
Today-122,43.48,43.96,41.8,41.9,17427461
Today-123,43.43,44.99,42.94,44.86,9850512
Today-124,43.1,44.17,42.69,43.57,7965727
Today-125,41.31,42.96,41.2,42.51,7201194
Today-126,42.17,42.83,41.54,41.54,6344188
Today-127,41.6,42.83,41.5,42.22,7095845
Today-128,44.5,44.58,42.25,42.83,12517426
Today-129,45.63,45.94,44.7,45.6,9317000
Today-130,45.73,46.6,45.15,46.37,7860458
Today-131,45.06,45.45,44.21,45.14,7868316
Today-132,45.92,46.45,45.4,45.7,5872353
Today-133,45.11,46.24,45.05,46.23,8127052
Today-134,45.31,45.35,44.39,45.08,6995036
Today-135,44.5,45.48,44.01,45.31,9115614
Today-136,43,43.82,42.4,43.7,8846173
Today-137,43.53,44.08,42.5,43.65,10946742
Today-138,43.64,44.43,42.65,43.07,10793695
Today-139,42.89,43.89,42.25,43.53,12476108
Today-140,41.57,42.48,41.45,42.41,9299823
Today-141,40.43,41.44,39.9,41.43,24876041
Today-142,43.22,43.67,42.1,43.1,14804575
Today-143,43,43.47,41.94,42.12,13704670
Today-144,40.52,42.33,39.45,42.28,14361436
Today-145,41.97,42.55,41.16,41.79,9685143
Today-146,43.79,43.84,41.81,41.93,11798755
Today-147,44.87,45.09,43.58,43.97,9590709
Today-148,46.68,46.74,44.69,45.13,11919493
Today-149,46.78,46.8,45,45.71,12517016
Today-150,44.16,46.09,43.95,45.81,15272994
Today-151,43.27,43.36,42.32,42.9,9017121
Today-152,44.49,44.9,42.83,43.54,11320727
Today-153,42.22,43.62,41.9,43.53,10330729
Today-154,42.54,43.2,41.01,41.77,10676723
Today-155,41.47,41.47,41.47,41.47,0
Today-156,41.47,41.47,41.47,41.47,0
Today-157,42.27,42.87,40.15,42.17,15368639
Today-158,43.21,44.32,41.8,42.07,11683013
Today-159,44.7,44.78,42.3,42.64,15587235
Today-160,46.55,47.43,45.83,45.84,11061606
Today-161,46.37,46.47,44.94,46.1,13165909
Today-162,46.77,47.08,45.67,45.8,11012077
Today-163,47.25,47.67,45.73,46.87,11507935
Today-164,48.5,49.4,47,47.08,10808375
Today-165,50.18,50.55,47.66,48.04,12120009
